An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,FeO,L O I
JB076,64.02,0.71,18.20,4.72,0.05,1.52,6.30,1.10,2.90,0.21,99.90,724,91,31,13,53,23,149,248,112,26,96,168,1.06,8.43
JB086,66.88,0.76,18.65,4.24,0.04,2.11,4.10,0.28,2.73,0.25,100.20,617,126,37,15,66,21,163,156,131,26,107,147,2.30,13.39
JB087,68.64,0.78,19.74,4.61,0.03,1.71,1.49,0.20,2.40,0.27,100.05,771,133,46,17,66,22,141,126,141,17,141,144,1.76,9.38
JB088,65.71,0.81,19.39,5.86,0.05,1.94,2.06,0.49,3.21,0.31,100.01,690,127,57,18,66,24,180,184,151,30,126,144,1.55,4.90
JB089,69.57,0.66,17.37,4.14,0.03,1.56,1.41,1.33,3.62,0.24,100.08,631,93,32,16,52,25,179,118,103,24,99,142,0.78,4.59
JB090,65.39,0.68,16.85,4.27,0.05,1.70,7.78,0.40,2.34,0.23,99.85,659,106,35,15,60,19,128,226,111,23,112,127,1.06,10.59
JB091,66.08,0.71,18.43,5.44,0.08,1.89,2.39,1.62,3.07,0.15,100.02,588,105,35,16,68,20,150,177,110,29,100,163,3.15,3.85
JB092,66.69,0.69,17.82,3.87,0.04,1.69,5.47,0.80,2.86,0.19,100.28,634,111,41,16,58,24,155,216,123,22,106,137,0.84,8.30
JB093,66.86,0.78,18.08,5.42,0.07,2.05,2.26,1.12,3.27,0.23,100.30,608,110,37,14,60,25,166,159,139,34,110,172,3.80,3.05
JB094,67.53,0.76,17.61,4.73,0.05,2.03,3.15,1.12,2.61,0.16,99.91,608,102,33,15,62,26,137,178,116,26,104,172,0.96,5.69
JB095,64.83,0.80,20.17,4.82,0.03,2.33,2.44,0.93,3.18,0.16,99.86,720,124,36,16,84,25,176,157,139,20,106,143,1.20,5.48
JB096,70.98,0.79,17.24,4.44,0.03,1.83,1.49,0.35,2.74,0.19,100.24,589,116,47,17,64,24,155,119,124,24,114,175,1.90,9.59
JB097,68.19,0.73,17.42,4.50,0.04,1.69,2.12,0.95,3.49,0.32,99.62,690,102,36,16,54,25,167,153,117,26,108,157,0.98,4.14
JB098,70.23,0.59,17.64,3.58,0.03,1.56,1.52,1.51,3.39,0.13,100.32,542,91,30,18,52,22,182,107,106,35,91,134,2.25,7.98
JB099,69.54,0.80,17.10,5.27,0.05,2.18,1.61,0.42,2.86,0.26,100.25,563,135,41,16,81,23,157,130,135,31,121,161,3.72,2.45
JB100,67.24,0.70,17.33,4.73,0.06,1.82,3.62,1.20,3.22,0.17,100.24,529,107,49,15,56,22,162,190,116,32,102,147,2.33,2.73
JB0103,67.36,0.69,18.88,4.22,0.04,1.78,2.05,1.60,3.06,0.26,100.11,751,96,35,15,54,26,151,192,114,30,104,156,1.93,5.63
JB104,67.18,0.75,18.35,5.53,0.06,1.69,2.11,1.26,3.13,0.16,100.37,503,105,38,15,52,31,173,171,133,33,100,169,4.24,2.33
JB105,64.30,0.81,18.81,6.43,0.07,1.99,3.80,0.50,2.89,0.18,99.93,423,127,43,17,62,23,175,213,150,30,115,170,4.94,2.00
JB106,69.63,0.83,18.32,4.40,0.04,1.79,1.99,0.33,2.50,0.20,100.20,691,123,48,17,70,24,148,166,132,25,110,170,1.34,5.34
JB107,69.71,0.64,18.22,4.43,0.03,1.52,1.19,0.99,3.14,0.19,100.20,503,102,48,15,61,23,209,105,114,24,109,116,0.95,5.53
