"","lat","lng"
"2027",38.909331,-8.005127
"2028",38.730108,-7.885845
"2029",NA,NA
"2030",37.799549,-7.606102
"2031",38.402332,-7.482851
"2032",38.393328,-7.500101
"2033",38.405501,-7.502399
"2034",38.396472,-7.498471
"2035",38.40232,-7.497161
"2036",38.403931,-7.503443
"2037",38.40244,-7.486056
"2038",38.399243,-7.491235
"2039",38.402761,-7.49544
"2040",38.403916,-7.492453
"2041",37.133177,-8.33766
"2042",38.403656,-7.494287
"2043",37.131188,-8.330801
"2044",38.401214,-7.492592
"2045",38.400504,-7.494544
"2046",37.127605,-8.334089
"2047",38.404929,-7.496566
"2048",38.249142,-7.41339
"2049",38.263413,-7.413592
"2050",38.39466,-7.496656
"2051",37.117617,-8.40425
"2052",38.742105,-7.218049
"2053",38.414986,-7.427779
"2054",38.404231,-7.437042
"2055",38.404231,-7.437042
"2056",38.40331,-7.433616
"2057",NA,NA
"2058",NA,NA
"2059",37.707872,-8.358762
"2060",37.709669,-8.361035
"2061",37.708781,-8.354228
"2062",NA,NA
"2063",38.73205,-8.264271
"2064",38.731401,-8.265041
"2065",38.697544,-8.269312
"2066",37.132457,-8.844889
"2067",38.707081,-8.921069
"2068",38.094189,-7.446123
"2069",38.753981,-7.210489
"2070",38.859062,-8.080137
"2071",38.470328,-7.835168
"2072",38.487905,-7.83968
"2073",NA,NA
"2074",38.304208,-7.432282
"2075",NA,NA
"2076",37.865154,-7.877266
"2077",38.422518,-7.45244
"2078",NA,NA
"2079",38.449518,-7.521376
"2080",NA,NA
"2081",38.665593,-8.03263
"2082",38.667114,-8.031341
"2083",38.429375,-9.198142
"2084",38.711545,-7.969723
"2085",38.713979,-7.97112
"2086",NA,NA
"2087",38.466583,-8.034406
"2088",38.470762,-8.044106
"2089",38.38336,-7.449545
"2090",38.874927,-7.477177
"2091",38.874026,-7.477197
"2092",NA,NA
"2093",37.200845,-8.589278
"2094",37.199445,-8.59017
"2095",38.555293,-7.986538
"2096",38.681027,-8.061845
"2097",38.682828,-8.060694
"2098",38.681923,-8.053799
"2099",37.057764,-8.902089
"2100",37.057779,-8.899841
"2101",37.060009,-8.903236
"2102",37.057775,-8.900403
"2103",37.293594,-7.808848
"2104",38.240142,-7.4526
"2105",38.841011,-8.050388
"2106",38.840255,-8.050757
"2107",38.816479,-8.313868
"2108",38.816928,-8.314445
"2109",37.285418,-7.834932
"2110",38.088712,-7.991438
"2111",NA,NA
"2112",37.572333,-8.170726
"2113",38.902177,-7.669393
"2114",38.410307,-7.521936
"2115",NA,NA
"2116",38.785521,-7.800487
"2117",NA,NA
"2118",38.722485,-8.116424
"2119",38.64049,-7.870773
"2120",38.637809,-7.87254
"2121",38.63807,-7.853002
"2122",38.64404,-7.867188
"2123",38.332299,-7.5514
"2124",NA,NA
"2125",38.692414,-7.999995
"2126",NA,NA
"2127",38.692742,-7.988271
"2128",38.201764,-7.517791
"2129",38.545722,-8.075054
"2130",38.548285,-8.067642
"2131",38.544371,-8.075032
"2132",38.541585,-8.07149
"2133",38.538721,-8.073087
"2134",38.402032,-7.37307
"2135",38.405582,-7.364904
"2136",38.406491,-7.36604
"2137",38.406468,-7.362605
"2138",NA,NA
"2139",NA,NA
"2140",38.09436,-7.746069
"2141",38.440548,-8.0739
"2142",37.241986,-8.276859
"2143",38.127157,-8.085865
"2144",38.383259,-7.432379
"2145",38.383235,-7.428373
"2146",38.383468,-7.429801
"2147",38.774956,-8.114111
"2148",NA,NA
"2149",NA,NA
"2150",NA,NA
"2151",NA,NA
